iso_week,artist,playlists
2024-W36,30 Ways to Storm,211
2024-W37,30 Ways to Storm,213
2024-W38,30 Ways to Storm,209
2024-W39,30 Ways to Storm,207
2024-W40,30 Ways to Storm,219
2024-W41,30 Ways to Storm,228
2024-W42,30 Ways to Storm,NA
2024-W43,30 Ways to Storm,207
2024-W44,30 Ways to Storm,221
2024-W45,30 Ways to Storm,227
2024-W47,30 Ways to Storm,228
2024-W48,30 Ways to Storm,NA
2024-W49,30 Ways to Storm,233
2024-W51,30 Ways to Storm,247
2024-W52,30 Ways to Storm,241
2024-W01,40 Days to Rebels,262
2024-W02,40 Days to Rebels,261
2024-W03,40 Days to Rebels,245
2024-W04,40 Days to Rebels,267
2024-W06,40 Days to Rebels,289
2024-W07,40 Days to Rebels,288
2024-W08,40 Days to Rebels,289
2024-W11,40 Days to Rebels,316
2024-W12,40 Days to Rebels,346
2024-W14,40 Days to Rebels,NA
2024-W15,40 Days to Rebels,336
2024-W16,40 Days to Rebels,NA
2024-W17,40 Days to Rebels,379
2024-W18,40 Days to Rebels,359
2024-W19,40 Days to Rebels,387
2024-W20,40 Days to Rebels,388
2024-W21,40 Days to Rebels,424
2024-W22,40 Days to Rebels,434
2024-W23,40 Days to Rebels,435
2024-W24,40 Days to Rebels,457
2024-W25,40 Days to Rebels,445
2024-W26,40 Days to Rebels,475
2024-W27,40 Days to Rebels,472
2024-W30,40 Days to Rebels,513
2024-W31,40 Days to Rebels,534
2024-W33,40 Days to Rebels,554
2024-W35,40 Days to Rebels,582
2024-W36,40 Days to Rebels,602
2024-W37,40 Days to Rebels,613
2024-W38,40 Days to Rebels,648
2024-W39,40 Days to Rebels,656
2024-W40,40 Days to Rebels,695
2024-W41,40 Days to Rebels,674
2024-W42,40 Days to Rebels,708
2024-W43,40 Days to Rebels,739
2024-W44,40 Days to Rebels,740
2024-W45,40 Days to Rebels,745
2024-W47,40 Days to Rebels,795
2024-W48,40 Days to Rebels,829
2024-W49,40 Days to Rebels,844
2024-W51,40 Days to Rebels,873
2024-W52,40 Days to Rebels,903
2024-W01,40 Miles to Storm,459
2024-W02,40 Miles to Storm,500
2024-W03,40 Miles to Storm,490
2024-W04,40 Miles to Storm,NA
2024-W06,40 Miles to Storm,578
2024-W07,40 Miles to Storm,605
2024-W08,40 Miles to Storm,637
2024-W11,40 Miles to Storm,699
2024-W12,40 Miles to Storm,735
2024-W14,40 Miles to Storm,822
2024-W15,40 Miles to Storm,847
2024-W16,40 Miles to Storm,888
2024-W17,40 Miles to Storm,908
2024-W18,40 Miles to Storm,958
2024-W19,40 Miles to Storm,1010
2024-W20,40 Miles to Storm,1045
2024-W21,40 Miles to Storm,1091
2024-W22,40 Miles to Storm,1138
2024-W23,40 Miles to Storm,1199
2024-W24,40 Miles to Storm,1231
2024-W25,40 Miles to Storm,1297
2024-W26,40 Miles to Storm,1354
2024-W27,40 Miles to Storm,1391
2024-W30,40 Miles to Storm,1601
2024-W31,40 Miles to Storm,1667
2024-W33,40 Miles to Storm,1804
2024-W35,40 Miles to Storm,1958
2024-W36,40 Miles to Storm,2033
2024-W37,40 Miles to Storm,2121
2024-W38,40 Miles to Storm,2210
2024-W39,40 Miles to Storm,2325
2024-W40,40 Miles to Storm,2427
2024-W41,40 Miles to Storm,2515
2024-W42,40 Miles to Storm,2615
2024-W43,40 Miles to Storm,2737
2024-W44,40 Miles to Storm,2878
2024-W45,40 Miles to Storm,2998
2024-W47,40 Miles to Storm,3233
2024-W48,40 Miles to Storm,3390
2024-W49,40 Miles to Storm,3519
2024-W51,40 Miles to Storm,3823
2024-W52,40 Miles to Storm,3995
2024-W01,60 Notes to Echo,307
2024-W02,60 Notes to Echo,350
2024-W03,60 Notes to Echo,340
2024-W04,60 Notes to Echo,NA
2024-W06,60 Notes to Echo,378
2024-W07,60 Notes to Echo,371
2024-W08,60 Notes to Echo,388
2024-W11,60 Notes to Echo,472
2024-W12,60 Notes to Echo,476
2024-W14,60 Notes to Echo,518
2024-W15,60 Notes to Echo,534
2024-W16,60 Notes to Echo,577
2024-W17,60 Notes to Echo,576
2024-W18,60 Notes to Echo,609
2024-W19,60 Notes to Echo,633
2024-W20,60 Notes to Echo,669
2024-W21,60 Notes to Echo,707
2024-W22,60 Notes to Echo,725
2024-W23,60 Notes to Echo,764
2024-W24,60 Notes to Echo,789
2024-W25,60 Notes to Echo,808
2024-W26,60 Notes to Echo,849
2024-W27,60 Notes to Echo,897
2024-W30,60 Notes to Echo,997
2024-W31,60 Notes to Echo,1049
2024-W33,60 Notes to Echo,1132
2024-W35,60 Notes to Echo,1210
2024-W36,60 Notes to Echo,1285
2024-W37,60 Notes to Echo,1313
2024-W38,60 Notes to Echo,1391
2024-W39,60 Notes to Echo,1443
2024-W40,60 Notes to Echo,1512
2024-W41,60 Notes to Echo,1566
2024-W42,60 Notes to Echo,1615
2024-W43,60 Notes to Echo,1679
2024-W44,60 Notes to Echo,1775
2024-W45,60 Notes to Echo,1843
2024-W47,60 Notes to Echo,1997
2024-W48,60 Notes to Echo,2077
2024-W49,60 Notes to Echo,2169
2024-W51,60 Notes to Echo,2336
2024-W52,60 Notes to Echo,2452
2024-W01,77 Beats to Wolves,386
2024-W02,77 Beats to Wolves,399
2024-W03,77 Beats to Wolves,385
2024-W04,77 Beats to Wolves,389
2024-W06,77 Beats to Wolves,400
2024-W07,77 Beats to Wolves,400
2024-W08,77 Beats to Wolves,392
2024-W11,77 Beats to Wolves,411
2024-W12,77 Beats to Wolves,441
2024-W14,77 Beats to Wolves,439
2024-W15,77 Beats to Wolves,447
2024-W16,77 Beats to Wolves,452
2024-W17,77 Beats to Wolves,460
2024-W18,77 Beats to Wolves,470
2024-W19,77 Beats to Wolves,468
2024-W20,77 Beats to Wolves,473
2024-W21,77 Beats to Wolves,483
2024-W22,77 Beats to Wolves,483
2024-W23,77 Beats to Wolves,509
2024-W24,77 Beats to Wolves,478
2024-W25,77 Beats to Wolves,516
2024-W26,77 Beats to Wolves,509
2024-W27,77 Beats to Wolves,523
2024-W30,77 Beats to Wolves,NA
2024-W31,77 Beats to Wolves,560
2024-W33,77 Beats to Wolves,567
2024-W35,77 Beats to Wolves,553
2024-W36,77 Beats to Wolves,561
2024-W37,77 Beats to Wolves,589
2024-W38,77 Beats to Wolves,616
2024-W39,77 Beats to Wolves,604
2024-W40,77 Beats to Wolves,620
2024-W41,77 Beats to Wolves,625
2024-W42,77 Beats to Wolves,617
2024-W43,77 Beats to Wolves,641
2024-W44,77 Beats to Wolves,643
2024-W45,77 Beats to Wolves,650
2024-W47,77 Beats to Wolves,671
2024-W48,77 Beats to Wolves,666
2024-W49,77 Beats to Wolves,684
2024-W51,77 Beats to Wolves,704
2024-W52,77 Beats to Wolves,702
2024-W01,77 Miles to Storm,478
2024-W02,77 Miles to Storm,498
2024-W03,77 Miles to Storm,513
2024-W04,77 Miles to Storm,NA
2024-W06,77 Miles to Storm,585
2024-W07,77 Miles to Storm,625
2024-W08,77 Miles to Storm,NA
2024-W11,77 Miles to Storm,733
2024-W12,77 Miles to Storm,751
2024-W14,77 Miles to Storm,837
2024-W15,77 Miles to Storm,NA
2024-W16,77 Miles to Storm,884
2024-W17,77 Miles to Storm,950
2024-W18,77 Miles to Storm,968
2024-W19,77 Miles to Storm,1014
2024-W20,77 Miles to Storm,1043
2024-W21,77 Miles to Storm,1129
2024-W22,77 Miles to Storm,1172
2024-W23,77 Miles to Storm,1226
2024-W24,77 Miles to Storm,1283
2024-W25,77 Miles to Storm,1330
2024-W26,77 Miles to Storm,1378
2024-W27,77 Miles to Storm,1456
2024-W30,77 Miles to Storm,1645
2024-W31,77 Miles to Storm,1720
2024-W33,77 Miles to Storm,1885
2024-W35,77 Miles to Storm,2060
2024-W36,77 Miles to Storm,2138
2024-W37,77 Miles to Storm,2239
2024-W38,77 Miles to Storm,2346
2024-W39,77 Miles to Storm,2435
2024-W40,77 Miles to Storm,NA
2024-W41,77 Miles to Storm,NA
2024-W42,77 Miles to Storm,2753
2024-W43,77 Miles to Storm,2890
2024-W44,77 Miles to Storm,3024
2024-W45,77 Miles to Storm,3155
2024-W47,77 Miles to Storm,3421
2024-W48,77 Miles to Storm,3591
2024-W49,77 Miles to Storm,3733
2024-W51,77 Miles to Storm,4085
2024-W52,77 Miles to Storm,4246
2024-W01,77 Steps to Phoenix,267
2024-W02,77 Steps to Phoenix,269
2024-W03,77 Steps to Phoenix,260
2024-W04,77 Steps to Phoenix,289
2024-W06,77 Steps to Phoenix,NA
2024-W07,77 Steps to Phoenix,286
2024-W08,77 Steps to Phoenix,290
2024-W11,77 Steps to Phoenix,307
2024-W12,77 Steps to Phoenix,307
2024-W14,77 Steps to Phoenix,332
2024-W15,77 Steps to Phoenix,323
2024-W16,77 Steps to Phoenix,323
2024-W17,77 Steps to Phoenix,337
2024-W18,77 Steps to Phoenix,340
2024-W19,77 Steps to Phoenix,332
2024-W20,77 Steps to Phoenix,356
2024-W21,77 Steps to Phoenix,367
2024-W22,77 Steps to Phoenix,374
2024-W23,77 Steps to Phoenix,381
2024-W24,77 Steps to Phoenix,373
2024-W25,77 Steps to Phoenix,386
2024-W26,77 Steps to Phoenix,386
2024-W27,77 Steps to Phoenix,396
2024-W30,77 Steps to Phoenix,429
2024-W31,77 Steps to Phoenix,427
2024-W33,77 Steps to Phoenix,461
2024-W35,77 Steps to Phoenix,453
2024-W36,77 Steps to Phoenix,473
2024-W37,77 Steps to Phoenix,468
2024-W38,77 Steps to Phoenix,495
2024-W39,77 Steps to Phoenix,485
2024-W40,77 Steps to Phoenix,490
2024-W41,77 Steps to Phoenix,NA
2024-W42,77 Steps to Phoenix,516
2024-W43,77 Steps to Phoenix,536
2024-W44,77 Steps to Phoenix,526
2024-W45,77 Steps to Phoenix,541
2024-W47,77 Steps to Phoenix,570
2024-W48,77 Steps to Phoenix,NA
2024-W49,77 Steps to Phoenix,564
2024-W51,77 Steps to Phoenix,586
2024-W52,77 Steps to Phoenix,605
2024-W01,77 Ways to Riders,NA
2024-W02,77 Ways to Riders,108
2024-W03,77 Ways to Riders,100
2024-W04,77 Ways to Riders,106
2024-W06,77 Ways to Riders,115
2024-W07,77 Ways to Riders,112
2024-W08,77 Ways to Riders,132
2024-W11,77 Ways to Riders,149
2024-W12,77 Ways to Riders,124
2024-W14,77 Ways to Riders,120
2024-W15,77 Ways to Riders,153
2024-W16,77 Ways to Riders,145
2024-W17,77 Ways to Riders,152
2024-W18,77 Ways to Riders,161
2024-W19,77 Ways to Riders,158
2024-W20,77 Ways to Riders,151
2024-W21,77 Ways to Riders,152
2024-W22,77 Ways to Riders,172
2024-W23,77 Ways to Riders,182
2024-W24,77 Ways to Riders,163
2024-W25,77 Ways to Riders,193
2024-W26,77 Ways to Riders,200
2024-W27,77 Ways to Riders,213
2024-W30,77 Ways to Riders,223
2024-W31,77 Ways to Riders,222
2024-W33,77 Ways to Riders,236
2024-W35,77 Ways to Riders,243
2024-W36,77 Ways to Riders,249
2024-W37,77 Ways to Riders,252
2024-W38,77 Ways to Riders,258
2024-W39,77 Ways to Riders,278
2024-W40,77 Ways to Riders,297
2024-W41,77 Ways to Riders,280
2024-W42,77 Ways to Riders,295
2024-W43,77 Ways to Riders,295
2024-W44,77 Ways to Riders,322
2024-W45,77 Ways to Riders,318
2024-W47,77 Ways to Riders,NA
2024-W48,77 Ways to Riders,337
2024-W49,77 Ways to Riders,356
2024-W51,77 Ways to Riders,383
2024-W52,77 Ways to Riders,374
2024-W01,88 Steps to Storm,117
2024-W02,88 Steps to Storm,143
2024-W03,88 Steps to Storm,135
2024-W04,88 Steps to Storm,140
2024-W06,88 Steps to Storm,157
2024-W07,88 Steps to Storm,185
2024-W08,88 Steps to Storm,176
2024-W11,88 Steps to Storm,197
2024-W12,88 Steps to Storm,206
2024-W14,88 Steps to Storm,201
2024-W15,88 Steps to Storm,NA
2024-W16,88 Steps to Storm,244
2024-W17,88 Steps to Storm,243
2024-W18,88 Steps to Storm,272
2024-W19,88 Steps to Storm,283
2024-W20,88 Steps to Storm,290
2024-W21,88 Steps to Storm,298
2024-W22,88 Steps to Storm,300
2024-W23,88 Steps to Storm,324
2024-W24,88 Steps to Storm,336
2024-W25,88 Steps to Storm,362
2024-W26,88 Steps to Storm,384
2024-W27,88 Steps to Storm,NA
2024-W30,88 Steps to Storm,449
2024-W31,88 Steps to Storm,460
2024-W33,88 Steps to Storm,488
2024-W35,88 Steps to Storm,549
2024-W36,88 Steps to Storm,553
2024-W37,88 Steps to Storm,621
2024-W38,88 Steps to Storm,589
2024-W39,88 Steps to Storm,638
2024-W40,88 Steps to Storm,665
2024-W41,88 Steps to Storm,NA
2024-W42,88 Steps to Storm,NA
2024-W43,88 Steps to Storm,765
2024-W44,88 Steps to Storm,782
2024-W45,88 Steps to Storm,804
2024-W47,88 Steps to Storm,897
2024-W48,88 Steps to Storm,935
2024-W49,88 Steps to Storm,982
2024-W51,88 Steps to Storm,1069
2024-W52,88 Steps to Storm,1087
2024-W01,88 Ways to Rebels,336
2024-W02,88 Ways to Rebels,NA
2024-W03,88 Ways to Rebels,360
2024-W04,88 Ways to Rebels,381
2024-W06,88 Ways to Rebels,396
2024-W07,88 Ways to Rebels,390
2024-W08,88 Ways to Rebels,395
2024-W11,88 Ways to Rebels,422
2024-W12,88 Ways to Rebels,NA
2024-W14,88 Ways to Rebels,475
2024-W15,88 Ways to Rebels,NA
2024-W16,88 Ways to Rebels,476
2024-W17,88 Ways to Rebels,503
2024-W18,88 Ways to Rebels,506
2024-W19,88 Ways to Rebels,509
2024-W20,88 Ways to Rebels,536
2024-W21,88 Ways to Rebels,540
2024-W22,88 Ways to Rebels,565
2024-W23,88 Ways to Rebels,567
2024-W24,88 Ways to Rebels,593
2024-W25,88 Ways to Rebels,590
2024-W26,88 Ways to Rebels,610
2024-W27,88 Ways to Rebels,626
2024-W30,88 Ways to Rebels,665
2024-W31,88 Ways to Rebels,NA
2024-W33,88 Ways to Rebels,721
2024-W35,88 Ways to Rebels,758
2024-W36,88 Ways to Rebels,762
2024-W37,88 Ways to Rebels,772
2024-W38,88 Ways to Rebels,798
2024-W39,88 Ways to Rebels,812
2024-W40,88 Ways to Rebels,833
2024-W41,88 Ways to Rebels,842
2024-W42,88 Ways to Rebels,862
2024-W43,88 Ways to Rebels,904
2024-W44,88 Ways to Rebels,920
2024-W45,88 Ways to Rebels,922
2024-W47,88 Ways to Rebels,991
2024-W48,88 Ways to Rebels,1015
2024-W49,88 Ways to Rebels,1011
2024-W51,88 Ways to Rebels,1092
2024-W52,88 Ways to Rebels,1092
2024-W01,Ava Anderson,348
2024-W02,Ava Anderson,353
2024-W03,Ava Anderson,NA
2024-W04,Ava Anderson,363
2024-W06,Ava Anderson,376
2024-W07,Ava Anderson,390
2024-W08,Ava Anderson,NA
2024-W11,Ava Anderson,412
2024-W12,Ava Anderson,434
2024-W14,Ava Anderson,445
2024-W15,Ava Anderson,441
2024-W16,Ava Anderson,453
2024-W17,Ava Anderson,456
2024-W18,Ava Anderson,490
2024-W19,Ava Anderson,447
2024-W20,Ava Anderson,486
2024-W21,Ava Anderson,495
2024-W22,Ava Anderson,505
2024-W23,Ava Anderson,496
2024-W24,Ava Anderson,NA
2024-W25,Ava Anderson,532
2024-W26,Ava Anderson,552
2024-W27,Ava Anderson,554
2024-W30,Ava Anderson,578
2024-W31,Ava Anderson,NA
2024-W33,Ava Anderson,604
2024-W35,Ava Anderson,627
2024-W36,Ava Anderson,628
2024-W37,Ava Anderson,660
2024-W38,Ava Anderson,674
2024-W39,Ava Anderson,689
2024-W40,Ava Anderson,682
2024-W41,Ava Anderson,701
2024-W42,Ava Anderson,703
2024-W43,Ava Anderson,737
2024-W44,Ava Anderson,746
2024-W45,Ava Anderson,764
2024-W47,Ava Anderson,777
2024-W48,Ava Anderson,798
2024-W49,Ava Anderson,792
2024-W51,Ava Anderson,NA
2024-W52,Ava Anderson,846
2024-W01,Ava Evans,140
2024-W02,Ava Evans,151
2024-W03,Ava Evans,160
2024-W04,Ava Evans,189
2024-W06,Ava Evans,175
2024-W07,Ava Evans,199
2024-W08,Ava Evans,178
2024-W11,Ava Evans,216
2024-W12,Ava Evans,239
2024-W14,Ava Evans,229
2024-W15,Ava Evans,236
2024-W16,Ava Evans,NA
2024-W17,Ava Evans,269
2024-W18,Ava Evans,280
2024-W19,Ava Evans,292
2024-W20,Ava Evans,302
2024-W21,Ava Evans,309
2024-W22,Ava Evans,317
2024-W23,Ava Evans,319
2024-W24,Ava Evans,318
2024-W25,Ava Evans,330
2024-W26,Ava Evans,352
2024-W27,Ava Evans,375
2024-W30,Ava Evans,NA
2024-W31,Ava Evans,420
2024-W33,Ava Evans,415
2024-W35,Ava Evans,476
2024-W36,Ava Evans,492
2024-W37,Ava Evans,493
2024-W38,Ava Evans,510
2024-W39,Ava Evans,524
2024-W40,Ava Evans,535
2024-W41,Ava Evans,518
2024-W42,Ava Evans,577
2024-W43,Ava Evans,583
2024-W44,Ava Evans,615
2024-W45,Ava Evans,NA
2024-W47,Ava Evans,676
2024-W48,Ava Evans,686
2024-W49,Ava Evans,741
2024-W51,Ava Evans,761
2024-W52,Ava Evans,782
2024-W01,Ava Garcia,196
2024-W02,Ava Garcia,208
2024-W03,Ava Garcia,232
2024-W04,Ava Garcia,243
2024-W06,Ava Garcia,245
2024-W07,Ava Garcia,284
2024-W08,Ava Garcia,267
2024-W11,Ava Garcia,328
2024-W12,Ava Garcia,347
2024-W14,Ava Garcia,361
2024-W15,Ava Garcia,383
2024-W16,Ava Garcia,409
2024-W17,Ava Garcia,397
2024-W18,Ava Garcia,438
2024-W19,Ava Garcia,476
2024-W20,Ava Garcia,488
2024-W21,Ava Garcia,511
2024-W22,Ava Garcia,547
2024-W23,Ava Garcia,559
2024-W24,Ava Garcia,598
2024-W25,Ava Garcia,605
2024-W26,Ava Garcia,637
2024-W27,Ava Garcia,NA
2024-W30,Ava Garcia,797
2024-W31,Ava Garcia,820
2024-W33,Ava Garcia,920
2024-W35,Ava Garcia,992
2024-W36,Ava Garcia,1027
2024-W37,Ava Garcia,1092
2024-W38,Ava Garcia,NA
2024-W39,Ava Garcia,1181
2024-W40,Ava Garcia,1251
2024-W41,Ava Garcia,1309
2024-W42,Ava Garcia,1373
2024-W43,Ava Garcia,1436
2024-W44,Ava Garcia,1499
2024-W45,Ava Garcia,1575
2024-W47,Ava Garcia,1730
2024-W48,Ava Garcia,1800
2024-W49,Ava Garcia,1891
